date,item_id,price,item_count
1/1/19,3,29.22,2
1/1/19,4,26.42,22
1/1/19,12,4.87,7
1/1/19,13,4.18,12
1/1/19,16,3.21,136
1/1/19,19,2.89,108
1/1/19,21,23.23,13
1/1/19,23,10.86,10
1/1/19,27,26.21,1
1/1/19,35,4.36,1
1/1/19,42,2.91,1
1/1/19,45,23.43,4
1/1/19,56,28.75,18
1/1/19,59,23.37,30
1/1/19,67,7,23
1/1/19,73,5.16,2
1/1/19,75,5.6,1
1/1/19,76,17.93,32
1/1/19,90,7.71,2
1/1/19,91,15.46,1
1/1/19,93,12.44,1
1/1/19,1,6.71,0
1/1/19,2,15.09,0
1/1/19,5,6.07,0
1/1/19,6,5.61,0
1/1/19,7,8.1,0
1/1/19,8,24.98,0
1/1/19,9,3.91,0
1/1/19,10,21.13,0
1/1/19,11,19.48,0
1/1/19,14,3.9,0
1/1/19,15,18.78,0
1/1/19,17,6.21,0
1/1/19,18,18.82,0
1/1/19,20,7.95,0
1/1/19,22,19.05,0
1/1/19,24,7.91,0
1/1/19,25,6.23,0
1/1/19,26,7.55,0
1/1/19,28,15.23,0
1/1/19,29,2.43,0
1/1/19,30,5.08,0
1/1/19,31,5.62,0
1/1/19,32,3.86,0
1/1/19,33,20.8,0
1/1/19,34,27.47,0
1/1/19,36,21.14,0
1/1/19,37,7.36,0
1/1/19,38,10.8,0
1/1/19,39,19.03,0
1/1/19,40,22.67,0
1/1/19,41,6.01,0
1/1/19,43,7.13,0
1/1/19,44,5.5,0
1/1/19,46,6.89,0
1/1/19,47,8.01,0
1/1/19,48,11.82,0
1/1/19,49,1.39,0
1/1/19,50,26.37,0
1/1/19,51,17.55,0
1/1/19,52,5.68,0
1/1/19,53,7.87,0
1/1/19,54,6.51,0
1/1/19,55,6.63,0
1/1/19,57,3.93,0
1/1/19,58,13.66,0
1/1/19,60,15.69,0
1/1/19,61,18.53,0
1/1/19,62,5.7,0
1/1/19,63,3.74,0
1/1/19,64,16.09,0
1/1/19,65,20.02,0
1/1/19,66,6.31,0
1/1/19,68,8.7,0
1/1/19,69,26.04,0
1/1/19,70,16.28,0
1/1/19,71,3.98,0
1/1/19,72,6.53,0
1/1/19,74,4.11,0
1/1/19,77,7.7,0
1/1/19,78,2.99,0
1/1/19,79,3.75,0
1/1/19,80,53.98,0
1/1/19,81,5.11,0
1/1/19,82,5.45,0
1/1/19,83,8.55,0
1/1/19,84,19.77,0
1/1/19,85,4.02,0
1/1/19,86,6.5,0
1/1/19,87,7.22,0
1/1/19,88,16.06,0
1/1/19,89,3.06,0
1/1/19,92,3.23,0
1/1/19,94,5.71,0
1/1/19,95,19.04,0
1/1/19,96,21.93,0
1/1/19,97,28.65,0
1/1/19,98,5,0
1/1/19,99,5.32,0
1/1/19,100,2.48,0
1/2/19,4,26.42,26
1/2/19,12,4.87,5
1/2/19,13,4.18,8
1/2/19,16,3.21,110
1/2/19,19,2.89,94
1/2/19,21,23.23,4
1/2/19,23,10.86,4
1/2/19,42,2.91,1
1/2/19,45,23.43,1
1/2/19,49,1.39,1
1/2/19,56,28.75,12
1/2/19,59,23.37,21
1/2/19,67,7,19
1/2/19,73,5.16,1
1/2/19,76,17.93,24
1/2/19,80,53.98,2
1/2/19,89,3.06,1
1/2/19,90,7.71,1
1/2/19,93,12.44,1
1/2/19,94,5.71,1
1/2/19,1,6.71,0
1/2/19,2,15.09,0
1/2/19,3,29.22,0
1/2/19,5,6.07,0
1/2/19,6,5.61,0
1/2/19,7,8.1,0
1/2/19,8,24.98,0
1/2/19,9,3.91,0
1/2/19,10,21.13,0
1/2/19,11,19.48,0
1/2/19,14,3.9,0
1/2/19,15,18.78,0
